text,label
"In the end, after placing the order..and not being able to validate it (my bank sent me a message alerting me)",1
ras,1
finally I'm reimbursed anyway by the 3 rd interlocutor of lille .... never answer by mail from customer service,0
Buongiorno ho acquistato recentemente lampadario ventilatore da soffitto dopo averlo montato disgraziatamente 1 pala e cascata è si è rotta nella sincerità più assoluta ho detto la verità risposta del negozio che 1 lo rotto io e peggio parte non esistono ricambi di pale e io che faccio devo spendere altri euro per un altro lampadario mai più acquisti da Leroy marlin,0
Nothing to complain about - I have ordered several products from Auchan.fr with in-store collection.,2
"I needed a license plate for my motorcycle and I waited a good half hour in the store, without finding a single person to take care of me.",0
They will not agree for refund after 1... - The three people from the store brought a bike that was already assembled.,0
"We bought this trampoline and we are very happy with the result super trampoline very big and solid, our daughter is delighted!!!!! Just the wait to receive it was a little long, but otherwise nothing to complain about!",2
Pessimi... - Chófer dice Me llamarán de tienda para corregir y envío.,1
"Their pseudo-telephone advisors hang up on you when you tell them the truth, i.e. they're all equally incompetent.",0
"I found this site after ordering the bed for my baby. Honestly I was a little scared. I didn't think my package was going to arrive but yes I received it, 2 3 days late nothing serious. Customer service got back to me right away and even offered me a 15th discount. A stroke of luck maybe, I don't know.",0
"I am extremely satisfied with the craftsman who intervened: respect for deadlines, clean and careful work, not hesitating to move when a part was missing or was not the right one, ...",2
I don't recommend it ( nothing worse) - I strongly advise against it I bought a computer for 600€ anyway .,0
Order on the website Leroy Merlin de Pau order apparently lost after contact Leroy Merlin can not do anything because it lends its sign to other provider and no contact is possible so beware of their website you'll get scammed,0
"So that's it for delayed delivery, poor quality product (or yes but you shouldn't sit on this 4+ seater sofa), and no after-sales service.",0
"""Lots of prizes missing. A store empty of customers and yet the shelves in disorder. Very very few entry-level products. I come out and order on the site 👎🏻""",0
"Una atención estupenda la recibida en mobiliario. Mari, la chica que me atendió supo recomendarme fenomenal.",1
INTERNET CUSTOMER SERVICE DEPLORABLE - LAMENTABLE TO FLEE...,0
"Bad experience and very disappointed... Inexplicable order delay, defective product, incompetent and lying customer service... 3 online orders in two months, 2 of which were faulty and one of which was delayed two months without explanation or commercial gesture... We've been waiting (as promised!!!) for a call and an e-mail for two months now!!! A shame so now we will go to competitors unless no choice and online service ended.",0
"I asked to see a manager, the area manager arrived, as cold as a polar wind, no smile, I explained to her, but I could see from her attitude that the fact of leaving her office bothered her a lot.",2
My favorite shopping center. Good one.,2
front wall and one of two entrance areas is undergoing repairs. no restrooms available. friendly and helpful staff,2
Buying a washing machine - I strongly advise against ordering from the Auchan website.,0
"Buenos días - After complaining about the non-refund at my depot, I am told that this is the procedure.",0
"In any case, I would like to comment on the action taken by Decathlon's Customer Service to organize the return and refund of my order.",0
RAS,1
Very disappointed with auchan.fr! - It's just shameful!,0
SERVICIO PÉSIMO - I will never go to that store again!,0
"In short, you prepare your site and you struggle to find what's missing, no commercial gesture, Leroy Merlin gives itself the right to change your order and I'm still waiting for refunds.",1
The Pau store takes 3 days to... - I had a problem with a Decathlon connected treadmill that led me to return the device,0
En la parte de electricidad es... - Llamas por teléfono y se pasan la pelota uno a otro. ¡DE VERGÜENZA!,1
😇,1
"Few days later I try and now its telling me to go into the stores. I do has instructed, but funnily enough they tell me no more bikes are being sold in store, everything is online.",0
Super,2
"Fatal en la entrega, enviaron a un chico solo a subir un inodoro de 80kg y el chico no podía el solo con el inodoro.",1
"Hello - Hello,",1
Pésima experiencia. No suelo comprar en este tipo de establecimientos habitualmente. Encargué una tarima flotante por importe de 2.800€ y tardaron más de 20 días en entregármelo desde la fecha acordada. Muchas láminas venían rotas. He presentado reclamación con hojas de reclamación en el mismo Leroy Merlin y en la oficina de Consumo. Fatal.,0
Presso leroy merlin di livorno... - Leroy Merlin :,1
"""Un'azienda scalcinata e pensare che vengono recensiti come """"Grande distribuzione organizzata"""" - Non ho Sentito più nessuno """,1
RAS 👍🏿😜,1
"I ordered a cabin bed on special offer for 109 euros, but was unhappily surprised to learn that the order had been cancelled with no explanation other than """"it's your bank's fault"""". The online payment went through to the end ... according to my bank, everything should have gone well, and orders on other sites at the same time went through normally.  This will be my last purchase on Auchan.fr"".",0
"no, I think a lot of people are going to do what I did and go elsewhere, simply because we waste too much time doing our own cashiering, and I'm not talking about the elderly who are completely overwhelmed!",0
2 orders 2 disappointments - Call to customer service order deleted.,0
Incompetent - I recorded everything.,0
Hard time trying to contact the after-sales service! Without success! - A FUIR,0
"This monday, february 3rd, I underwent the... - Don't be in a hurry !!!",1
"Sus muebles de jardín son tan cómodos que los trabajadores de Leroy Merlín en Los Barrios (Cádiz), se relajannnnnnn, jan, jan, jan, jan. Más personal o más competente, por favor: NO FUNCIONAN LOS ENVÍOS!!!! Y por supuesto he reclamado mis gastos de envío.",0
"Incompetent installation service, the dimensions are not respected nor the quantities. Had to make several return trips to buy what was needed. Fortunately, craftsmen are more competent. In short, go to castorama, the customer service is much better.",0
"Buenas mi experiencia excelente después de cambiar un conjunto de ducha que no me servía por otro adecuado a mi sistema en leroy de guadalmar (malaga), en especial la persona de sanitarios Patricia que me atendió súper bien y tramitó el problema, de 10!!!!",2
Various installations,1
"Not only do I acknowledge receipt of an 800€ bill, I also got back my broken car KEY (disassociated from its holder which they returned to me after searching), the technicians claimed that I had entrusted them with the key in this state (what bad faith on their part)!!!!",0
